description	enabled	ladder	min diff	version	op	param	value	*stat	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	*mod 1 skillname	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	*mod 2 skillname	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	*mod 3 skillname	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	*mod 4 skillname	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	*mod 5 skillname	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	*b mod 1 skillname	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	*b mod 2 skillname	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	*b mod 3 skillname	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	*b mod 4 skillname	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	*b mod 5 skillname	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	*c mod 1 skillname	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	*c mod 2 skillname	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	*c mod 3 skillname	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	*c mod 4 skillname	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	*c mod 5 skillname	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Tier 4 Map Shrine of Destruction	1		2	100						1	z16							Red Portal,qty=182																																																																																																						0
Tier 5 Map Eye of the Storm	1		2	100						1	z17							Red Portal,qty=192																																																																																																						0
Tier 5 Map Icecrown Citadel	1		2	100						1	z18							Red Portal,qty=200																																																																																																						0
Tier 5 Map The Sanctum of the Dead	1		2	100						1	z19							Red Portal,qty=204																																																																																																						0
Tier 5 Map The Reliquary of False Light	1		2	100						1	z20							Red Portal,qty=207																																																																																																						0
Tier 1 -> 2 Cellar of Pain to Ancient Tomb	1			100						3	z01,qty=3							z05	100																																																																																																					0
Tier 1 -> 2 Chasm of Horror to Chaos Rift	1			100						3	z02,qty=3							z06	100																																																																																																					0
Tier 1 -> 2 Crypt of Damnation to Infested Lair	1			100						3	z03,qty=3							z07	100																																																																																																					0
Tier 1 -> 2 Necropolis to Labyrinth of Suffering	1			100						3	z04,qty=3							z08	100																																																																																																					0
Tier 2 -> 3 Ancient Tomb to Decaying Depths	1			100						3	z05,qty=3							z09	100																																																																																																					0
Tier 2 -> 3 Chaos Rift to Endless Abyss	1			100						3	z06,qty=3							z10	100																																																																																																					0
Tier 2 -> 3 Infested Lair to Frozen Wastes	1			100						3	z07,qty=3							z11	100																																																																																																					0
Tier 2 -> 3 Labyrinth of Suffering to Twisted Maze	1			100						3	z08,qty=3							z12	100																																																																																																					0
Tier 3 -> 4 Decaying Depths to Cursed Ossuary	1			100						3	z09,qty=3							z13	100																																																																																																					0
Tier 3 -> 4 Endless Abyss to Infernal Nexus	1			100						3	z10,qty=3							z14	100																																																																																																					0
Tier 3 -> 4 Frozen Wastes to Reliquary of Souls	1			100						3	z11,qty=3							z15	100																																																																																																					0
Tier 3 -> 4 Twisted Maze to Shrine of Destruction	1			100						3	z12,qty=3							z16	100																																																																																																					0
Tier 4 -> 5 Cursed Ossuary to The Sanctum of the Dead	1			100						3	z13,qty=3							z19	100																																																																																																					0
Tier 4 -> 5 Infernal Nexus to Eye of the Storm	1			100						3	z14,qty=3							z17	100																																																																																																					0
Tier 4 -> 5 Reliquary of Souls to The Reliquary of False Light	1			100						3	z15,qty=3							z20	100																																																																																																					0
Tier 4 -> 5 Shrine of Destruction to Icecrown Citadel	1			100						3	z16,qty=3							z18	100																																																																																																					0
Tier 1 Map Randomization	1			100	16	203	128			3	rnd	z01,qty=2						z01																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	256			3	rnd	z01,qty=2						z02																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	384			3	rnd	z01,qty=2						z03																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	512			3	rnd	z01,qty=2						z04																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	128			3	rnd	z02,qty=2						z01																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	256			3	rnd	z02,qty=2						z02																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	384			3	rnd	z02,qty=2						z03																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	512			3	rnd	z02,qty=2						z04																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	128			3	rnd	z03,qty=2						z01																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	256			3	rnd	z03,qty=2						z02																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	384			3	rnd	z03,qty=2						z03																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	512			3	rnd	z03,qty=2						z04																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	128			3	rnd	z04,qty=2						z01																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	256			3	rnd	z04,qty=2						z02																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	384			3	rnd	z04,qty=2						z03																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	512			3	rnd	z04,qty=2						z04																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	128			3	rnd	z01	z02					z01																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	256			3	rnd	z01	z02					z02																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	384			3	rnd	z01	z02					z03																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	512			3	rnd	z01	z02					z04																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	128			3	rnd	z01	z03					z01																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	256			3	rnd	z01	z03					z02																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	384			3	rnd	z01	z03					z03																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	512			3	rnd	z01	z03					z04																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	128			3	rnd	z01	z04					z01																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	256			3	rnd	z01	z04					z02																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	384			3	rnd	z01	z04					z03																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	512			3	rnd	z01	z04					z04																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	128			3	rnd	z02	z03					z01																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	256			3	rnd	z02	z03					z02																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	384			3	rnd	z02	z03					z03																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	512			3	rnd	z02	z03					z04																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	128			3	rnd	z02	z04					z01																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	256			3	rnd	z02	z04					z02																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	384			3	rnd	z02	z04					z03																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	512			3	rnd	z02	z04					z04																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	128			3	rnd	z03	z04					z01																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	256			3	rnd	z03	z04					z02																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	384			3	rnd	z03	z04					z03																																																																																																						0
Tier 1 Map Randomization	1			100	16	203	512			3	rnd	z03	z04					z04																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	128			3	rnd	z05,qty=2						z05																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	256			3	rnd	z05,qty=2						z06																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	384			3	rnd	z05,qty=2						z07																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	512			3	rnd	z05,qty=2						z08																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	128			3	rnd	z06,qty=2						z05																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	256			3	rnd	z06,qty=2						z06																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	384			3	rnd	z06,qty=2						z07																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	512			3	rnd	z06,qty=2						z08																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	128			3	rnd	z07,qty=2						z05																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	256			3	rnd	z07,qty=2						z06																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	384			3	rnd	z07,qty=2						z07																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	512			3	rnd	z07,qty=2						z08																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	128			3	rnd	z08,qty=2						z05																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	256			3	rnd	z08,qty=2						z06																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	384			3	rnd	z08,qty=2						z07																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	512			3	rnd	z08,qty=2						z08																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	128			3	rnd	z05	z06					z05																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	256			3	rnd	z05	z06					z06																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	384			3	rnd	z05	z06					z07																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	512			3	rnd	z05	z06					z08																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	128			3	rnd	z05	z07					z05																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	256			3	rnd	z05	z07					z06																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	384			3	rnd	z05	z07					z07																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	512			3	rnd	z05	z07					z08																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	128			3	rnd	z05	z08					z05																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	256			3	rnd	z05	z08					z06																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	384			3	rnd	z05	z08					z07																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	512			3	rnd	z05	z08					z08																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	128			3	rnd	z06	z07					z05																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	256			3	rnd	z06	z07					z06																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	384			3	rnd	z06	z07					z07																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	512			3	rnd	z06	z07					z08																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	128			3	rnd	z06	z08					z05																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	256			3	rnd	z06	z08					z06																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	384			3	rnd	z06	z08					z07																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	512			3	rnd	z06	z08					z08																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	128			3	rnd	z07	z08					z05																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	256			3	rnd	z07	z08					z06																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	384			3	rnd	z07	z08					z07																																																																																																						0
Tier 2 Map Randomization	1			100	16	203	512			3	rnd	z07	z08					z08																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	128			3	rnd	z09,qty=2						z09																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	256			3	rnd	z09,qty=2						z10																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	384			3	rnd	z09,qty=2						z11																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	512			3	rnd	z09,qty=2						z12																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	128			3	rnd	z10,qty=2						z09																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	256			3	rnd	z10,qty=2						z10																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	384			3	rnd	z10,qty=2						z11																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	512			3	rnd	z10,qty=2						z12																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	128			3	rnd	z11,qty=2						z09																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	256			3	rnd	z11,qty=2						z10																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	384			3	rnd	z11,qty=2						z11																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	512			3	rnd	z11,qty=2						z12																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	128			3	rnd	z12,qty=2						z09																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	256			3	rnd	z12,qty=2						z10																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	384			3	rnd	z12,qty=2						z11																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	512			3	rnd	z12,qty=2						z12																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	128			3	rnd	z09	z10					z09																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	256			3	rnd	z09	z10					z10																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	384			3	rnd	z09	z10					z11																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	512			3	rnd	z09	z10					z12																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	128			3	rnd	z09	z11					z09																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	256			3	rnd	z09	z11					z10																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	384			3	rnd	z09	z11					z11																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	512			3	rnd	z09	z11					z12																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	128			3	rnd	z09	z12					z09																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	256			3	rnd	z09	z12					z10																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	384			3	rnd	z09	z12					z11																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	512			3	rnd	z09	z12					z12																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	128			3	rnd	z10	z11					z09																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	256			3	rnd	z10	z11					z10																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	384			3	rnd	z10	z11					z11																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	512			3	rnd	z10	z11					z12																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	128			3	rnd	z10	z12					z09																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	256			3	rnd	z10	z12					z10																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	384			3	rnd	z10	z12					z11																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	512			3	rnd	z10	z12					z12																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	128			3	rnd	z11	z12					z09																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	256			3	rnd	z11	z12					z10																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	384			3	rnd	z11	z12					z11																																																																																																						0
Tier 3 Map Randomization	1			100	16	203	512			3	rnd	z11	z12					z12																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	128			3	rnd	z13,qty=2						z13																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	256			3	rnd	z13,qty=2						z14																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	384			3	rnd	z13,qty=2						z15																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	512			3	rnd	z13,qty=2						z16																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	128			3	rnd	z14,qty=2						z13																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	256			3	rnd	z14,qty=2						z14																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	384			3	rnd	z14,qty=2						z15																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	512			3	rnd	z14,qty=2						z16																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	128			3	rnd	z15,qty=2						z13																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	256			3	rnd	z15,qty=2						z14																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	384			3	rnd	z15,qty=2						z15																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	512			3	rnd	z15,qty=2						z16																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	128			3	rnd	z16,qty=2						z13																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	256			3	rnd	z16,qty=2						z14																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	384			3	rnd	z16,qty=2						z15																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	512			3	rnd	z16,qty=2						z16																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	128			3	rnd	z13	z14					z13																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	256			3	rnd	z13	z14					z14																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	384			3	rnd	z13	z14					z15																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	512			3	rnd	z13	z14					z16																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	128			3	rnd	z13	z15					z13																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	256			3	rnd	z13	z15					z14																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	384			3	rnd	z13	z15					z15																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	512			3	rnd	z13	z15					z16																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	128			3	rnd	z13	z16					z13																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	256			3	rnd	z13	z16					z14																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	384			3	rnd	z13	z16					z15																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	512			3	rnd	z13	z16					z16																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	128			3	rnd	z14	z15					z13																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	256			3	rnd	z14	z15					z14																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	384			3	rnd	z14	z15					z15																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	512			3	rnd	z14	z15					z16																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	128			3	rnd	z14	z16					z13																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	256			3	rnd	z14	z16					z14																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	384			3	rnd	z14	z16					z15																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	512			3	rnd	z14	z16					z16																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	128			3	rnd	z15	z16					z13																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	256			3	rnd	z15	z16					z14																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	384			3	rnd	z15	z16					z15																																																																																																						0
Tier 4 Map Randomization	1			100	16	203	512			3	rnd	z15	z16					z16																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	128			3	rnd	z17,qty=2						z17																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	256			3	rnd	z17,qty=2						z18																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	384			3	rnd	z17,qty=2						z19																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	512			3	rnd	z17,qty=2						z20																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	128			3	rnd	z18,qty=2						z17																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	256			3	rnd	z18,qty=2						z18																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	384			3	rnd	z18,qty=2						z19																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	512			3	rnd	z18,qty=2						z20																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	128			3	rnd	z19,qty=2						z17																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	256			3	rnd	z19,qty=2						z18																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	384			3	rnd	z19,qty=2						z19																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	512			3	rnd	z19,qty=2						z20																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	128			3	rnd	z20,qty=2						z17																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	256			3	rnd	z20,qty=2						z18																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	384			3	rnd	z20,qty=2						z19																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	512			3	rnd	z20,qty=2						z20																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	128			3	rnd	z17	z18					z17																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	256			3	rnd	z17	z18					z18																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	384			3	rnd	z17	z18					z19																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	512			3	rnd	z17	z18					z20																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	128			3	rnd	z17	z19					z17																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	256			3	rnd	z17	z19					z18																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	384			3	rnd	z17	z19					z19																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	512			3	rnd	z17	z19					z20																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	128			3	rnd	z17	z20					z17																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	256			3	rnd	z17	z20					z18																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	384			3	rnd	z17	z20					z19																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	512			3	rnd	z17	z20					z20																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	128			3	rnd	z18	z19					z17																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	256			3	rnd	z18	z19					z18																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	384			3	rnd	z18	z19					z19																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	512			3	rnd	z18	z19					z20																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	128			3	rnd	z18	z20					z17																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	256			3	rnd	z18	z20					z18																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	384			3	rnd	z18	z20					z19																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	512			3	rnd	z18	z20					z20																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	128			3	rnd	z19	z20					z17																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	256			3	rnd	z19	z20					z18																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	384			3	rnd	z19	z20					z19																																																																																																						0
Tier 5 Map Randomization	1			100	16	203	512			3	rnd	z19	z20					z20																																																																																																						0
Map Recycle to Perfect Gem	1			100						2	mmap	key						gem5																																		key																																																																				0
Key of Terror + Blemished Gem + Thawing Potion -> Key of Destruction Conversion	1			100						3	pk1	gem4	wms					pk3																																		wms																																																																				0
Key of Terror + Blemished Gem + Stamina Potion -> Key of Hate Conversion	1			100						3	pk1	gem4	vps					pk2																																		vps																																																																				0
Key of Hate + Blemished Gem + Thawing Potion -> Key of Terror Conversion	1			100						3	pk2	gem4	wms					pk1																																		wms																																																																				0
Key of Hate + Blemished Gem + Stamina Potion -> Key of Destruction Conversion	1			100						3	pk2	gem4	vps					pk3																																		vps																																																																				0
Key of Destruction + Blemished Gem + Thawing Potion -> Key of Hate Conversion	1			100						3	pk3	gem4	wms					pk2																																		wms																																																																				0
Key of Destruction + Blemished Gem + Stamina Potion -> Key of Terror Conversion	1			100						3	pk3	gem4	vps					pk1																																		vps																																																																				0
Pandemonium Key Set Unwrap	1			100						1	u10							pk1																																		pk2																																		pk3																																		0
Pandemonium Key Set Wrap	1			100						4	pk1	pk2	pk3	key				u10																																		key																																																																				0
1 Key of Terror + 1 Key of Hate + 1 Key of Destruction -> Portal to Matron's Den/Forgotten Sands/Furnace of Pain (Random)	1			100	28					3	pk1	pk2	pk3					Pandemonium Portal																																																																																																						0
