Name	*Rune Name	complete	firstLadderSeason	lastLadderSeason	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword38	Holy	1				weap	glov	misl								gfw						hit-skill	Magic Surge	3	2																									0
Runeword39	Holy	1				weap	glov	misl								gsw						hit-skill	Magic Surge	4	4																									0
Runeword40	Holy	1				weap	glov	misl								glw						hit-skill	Magic Surge	5	6																									0
Runeword41	Holy	1				weap	glov	misl								gpw						hit-skill	Magic Surge	6	8																									0
Runeword42	Holy	1				weap	glov	misl								gwb						hit-skill	Magic Surge	8	10																									0
Runeword43	Holy	1				weap	glov									gcw	gcw					hit-skill	Magic Surge	4	2																									0
Runeword44	Holy	1				weap	glov									gfw	gfw					hit-skill	Magic Surge	5	3																									0
Runeword45	Holy	1				weap	glov									gsw	gsw					hit-skill	Magic Surge	6	5																									0
Runeword46	Holy	1				weap	glov									glw	glw					hit-skill	Magic Surge	7	7																									0
Runeword47	Holy	1				weap	glov									gpw	gpw					hit-skill	Magic Surge	8	9																									0
Runeword48	Holy	1				weap	glov									gwb	gwb					hit-skill	Magic Surge	10	11																									0
Runeword49	Holy	1				weap										gcw	gcw	gcw				hit-skill	Magic Surge	6	3																									0
Runeword50	Holy	1				weap										gfw	gfw	gfw				hit-skill	Magic Surge	7	4																									0
Runeword51	Holy	1				weap										gsw	gsw	gsw				hit-skill	Magic Surge	8	6																									0
Runeword52	Holy	1				weap										glw	glw	glw				hit-skill	Magic Surge	9	8																									0
Runeword53	Holy	1				weap										gpw	gpw	gpw				hit-skill	Magic Surge	10	10																									0
Runeword54	Holy	1				weap										gwb	gwb	gwb				hit-skill	Magic Surge	12	12																									0
Runeword55	Holy	1				weap										gcw	gcw	gcw	gcw			hit-skill	Magic Surge	8	4																									0
Runeword56	Holy	1				weap										gfw	gfw	gfw	gfw			hit-skill	Magic Surge	9	5																									0
Runeword57	Holy	1				weap										gsw	gsw	gsw	gsw			hit-skill	Magic Surge	10	7																									0
Runeword58	Holy	1				weap										glw	glw	glw	glw			hit-skill	Magic Surge	11	9																									0
Runeword59	Holy	1				weap										gpw	gpw	gpw	gpw			hit-skill	Magic Surge	12	12																									0
Runeword60	Holy	1				weap										gwb	gwb	gwb	gwb			hit-skill	Magic Surge	14	15																									0
Runeword61	Holy	1				weap										gcw	gcw	gcw	gcw	gcw		hit-skill	Magic Surge	10	5																									0
Runeword62	Holy	1				weap										gfw	gfw	gfw	gfw	gfw		hit-skill	Magic Surge	11	6																									0
Runeword63	Holy	1				weap										gsw	gsw	gsw	gsw	gsw		hit-skill	Magic Surge	12	8																									0
Runeword64	Holy	1				weap										glw	glw	glw	glw	glw		hit-skill	Magic Surge	13	10																									0
Runeword65	Holy	1				weap										gpw	gpw	gpw	gpw	gpw		hit-skill	Magic Surge	14	13																									0
Runeword66	Holy	1				weap										gwb	gwb	gwb	gwb	gwb		hit-skill	Magic Surge	16	16																									0
Runeword67	Holy	1				weap										gcw	gcw	gcw	gcw	gcw	gcw	hit-skill	Magic Surge	12	6																									0
Runeword68	Holy	1				weap										gfw	gfw	gfw	gfw	gfw	gfw	hit-skill	Magic Surge	13	7																									0
Runeword69	Holy	1				weap										gsw	gsw	gsw	gsw	gsw	gsw	hit-skill	Magic Surge	14	9																									0
Runeword70	Holy	1				weap										glw	glw	glw	glw	glw	glw	hit-skill	Magic Surge	15	11																									0
Runeword71	Holy	1				weap										gpw	gpw	gpw	gpw	gpw	gpw	hit-skill	Magic Surge	16	15																									0
Runeword72	Holy	1				weap										gwb	gwb	gwb	gwb	gwb	gwb	hit-skill	Magic Surge	18	18																									0
Runeword73	Mighty	1				tors	shld	helm	char	boot	belt					gcv						red-dmg		1	1																									0
Runeword74	Mighty	1				tors	shld	helm	char	boot	belt					gfv						red-dmg		2	2																									0
Runeword75	Mighty	1				tors	shld	helm	char	boot	belt					gsv						red-dmg		3	3																									0
Runeword76	Mighty	1				tors	shld	helm	char	boot	belt					gzv						red-dmg		4	4																									0
Runeword77	Mighty	1				tors	shld	helm	char	boot	belt					gpv						red-dmg		7	7																									0
Runeword78	Mighty	1				tors	shld	helm	char	boot	belt					gvb						red-dmg		10	10																									0
Runeword79	Mighty	1				tors	shld	helm	char	boot	belt					gcv	gcv					red-dmg		2	2																									0
Runeword80	Mighty	1				tors	shld	helm	char	boot	belt					gfv	gfv					red-dmg		3	3																									0
Runeword81	Mighty	1				tors	shld	helm	char	boot	belt					gsv	gsv					red-dmg		4	4																									0
Runeword82	Mighty	1				tors	shld	helm	char	boot	belt					gzv	gzv					red-dmg		5	5																									0
Runeword83	Mighty	1				tors	shld	helm	char	boot	belt					gpv	gpv					red-dmg		8	8																									0
Runeword84	Mighty	1				tors	shld	helm	char	boot	belt					gvb	gvb					red-dmg		11	11																									0
Runeword85	Mighty	1				tors	shld	helm	char							gcv	gcv	gcv				red-dmg		3	3																									0
Runeword86	Mighty	1				tors	shld	helm	char							gfv	gfv	gfv				red-dmg		4	4																									0
Runeword87	Mighty	1				tors	shld	helm	char							gsv	gsv	gsv				red-dmg		5	5																									0
Runeword88	Mighty	1				tors	shld	helm	char							gzv	gzv	gzv				red-dmg		7	7																									0
Runeword89	Mighty	1				tors	shld	helm	char							gpv	gpv	gpv				red-dmg		10	10																									0
Runeword90	Mighty	1				tors	shld	helm	char							gvb	gvb	gvb				red-dmg		13	13																									0
Runeword91	Mighty	1				tors	shld	helm								gcv	gcv	gcv	gcv			red-dmg		4	4																									0
Runeword92	Mighty	1				tors	shld	helm								gfv	gfv	gfv	gfv			red-dmg		5	5																									0
Runeword93	Mighty	1				tors	shld	helm								gsv	gsv	gsv	gsv			red-dmg		6	6																									0
Runeword94	Mighty	1				tors	shld	helm								gzv	gzv	gzv	gzv			red-dmg		9	9																									0
Runeword95	Mighty	1				tors	shld	helm								gpv	gpv	gpv	gpv			red-dmg		12	12																									0
Runeword96	Mighty	1				tors	shld	helm								gvb	gvb	gvb	gvb			red-dmg		15	15																									0
Runeword97	Mighty	1				tors										gcv	gcv	gcv	gcv	gcv		red-dmg		5	5																									0
Runeword98	Mighty	1				tors										gfv	gfv	gfv	gfv	gfv		red-dmg		6	6																									0
Runeword99	Mighty	1				tors										gsv	gsv	gsv	gsv	gsv		red-dmg		7	7																									0
Runeword100	Mighty	1				tors										gzv	gzv	gzv	gzv	gzv		red-dmg		10	10																									0
Runeword101	Mighty	1				tors										gpv	gpv	gpv	gpv	gpv		red-dmg		14	14																									0
Runeword102	Mighty	1				tors										gvb	gvb	gvb	gvb	gvb		red-dmg		18	18																									0
Runeword103	Mighty	1				tors										gcv	gcv	gcv	gcv	gcv	gcv	red-dmg		6	6																									0
Runeword104	Mighty	1				tors										gfv	gfv	gfv	gfv	gfv	gfv	red-dmg		7	7																									0
Runeword105	Mighty	1				tors										gsv	gsv	gsv	gsv	gsv	gsv	red-dmg		8	8																									0
Runeword106	Mighty	1				tors										gzv	gzv	gzv	gzv	gzv	gzv	red-dmg		15	15																									0
Runeword107	Mighty	1				tors										gpv	gpv	gpv	gpv	gpv	gpv	red-dmg		20	20																									0
Runeword108	Mighty	1				tors										gvb	gvb	gvb	gvb	gvb	gvb	red-dmg		25	25																									0
Runeword109	Mighty	1				weap	glov	misl								gcv						dmg-norm		1	1																									0
Runeword110	Mighty	1				weap	glov	misl								gfv						dmg-norm		2	2																									0
Runeword111	Mighty	1				weap	glov	misl								gsv						dmg-norm		3	3																									0
Runeword112	Mighty	1				weap	glov	misl								gzv						dmg-norm		4	4																									0
Runeword113	Mighty	1				weap	glov	misl								gpv						dmg-norm		7	7																									0
Runeword114	Mighty	1				weap	glov	misl								gvb						dmg-norm		10	10																									0
Runeword115	Mighty	1				weap	glov									gcv	gcv					dmg-norm		2	2																									0
Runeword116	Mighty	1				weap	glov									gfv	gfv					dmg-norm		3	3																									0
Runeword117	Mighty	1				weap	glov									gsv	gsv					dmg-norm		4	4																									0
Runeword118	Mighty	1				weap	glov									gzv	gzv					dmg-norm		5	5																									0
Runeword119	Mighty	1				weap	glov									gpv	gpv					dmg-norm		8	8																									0
Runeword120	Mighty	1				weap	glov									gvb	gvb					dmg-norm		11	11																									0
Runeword121	Mighty	1				weap										gcv	gcv	gcv				dmg-norm		3	3	dmg%		10	10																					0
Runeword122	Mighty	1				weap										gfv	gfv	gfv				dmg-norm		4	4	dmg%		20	20																					0
Runeword123	Mighty	1				weap										gsv	gsv	gsv				dmg-norm		5	5	dmg%		30	30																					0
Runeword124	Mighty	1				weap										gzv	gzv	gzv				dmg-norm		7	7	dmg%		40	40																					0
Runeword125	Mighty	1				weap										gpv	gpv	gpv				dmg-norm		10	10	dmg%		50	50																					0
Runeword126	Mighty	1				weap										gvb	gvb	gvb				dmg-norm		13	13	dmg%		60	60																					0
Runeword127	Mighty	1				weap										gcv	gcv	gcv	gcv			dmg-norm		4	4	dmg%		20	20																					0
Runeword128	Mighty	1				weap										gfv	gfv	gfv	gfv			dmg-norm		5	5	dmg%		40	40																					0
Runeword129	Mighty	1				weap										gsv	gsv	gsv	gsv			dmg-norm		6	6	dmg%		60	60																					0
Runeword130	Mighty	1				weap										gzv	gzv	gzv	gzv			dmg-norm		9	9	dmg%		80	80																					0
Runeword131	Mighty	1				weap										gpv	gpv	gpv	gpv			dmg-norm		12	12	dmg%		100	100																					0
Runeword132	Mighty	1				weap										gvb	gvb	gvb	gvb			dmg-norm		15	15	dmg%		120	120																					0
Runeword133	Mighty	1				weap										gcv	gcv	gcv	gcv	gcv		dmg-norm		5	5	dmg%		30	30																					0
Runeword134	Mighty	1				weap										gfv	gfv	gfv	gfv	gfv		dmg-norm		6	6	dmg%		60	60																					0
Runeword135	Mighty	1				weap										gsv	gsv	gsv	gsv	gsv		dmg-norm		7	7	dmg%		90	90																					0
Runeword136	Mighty	1				weap										gzv	gzv	gzv	gzv	gzv		dmg-norm		10	10	dmg%		120	120																					0
Runeword137	Mighty	1				weap										gpv	gpv	gpv	gpv	gpv		dmg-norm		14	14	dmg%		150	150																					0
Runeword138	Mighty	1				weap										gvb	gvb	gvb	gvb	gvb		dmg-norm		18	18	dmg%		180	180																					0
Runeword139	Mighty	1				weap										gcv	gcv	gcv	gcv	gcv	gcv	dmg-norm		6	6	dmg%		50	50																					0
Runeword140	Mighty	1				weap										gfv	gfv	gfv	gfv	gfv	gfv	dmg-norm		7	7	dmg%		100	100																					0
Runeword141	Mighty	1				weap										gsv	gsv	gsv	gsv	gsv	gsv	dmg-norm		8	8	dmg%		150	150																					0
Runeword142	Mighty	1				weap										gzv	gzv	gzv	gzv	gzv	gzv	dmg-norm		15	15	dmg%		200	200																					0
Runeword143	Mighty	1				weap										gpv	gpv	gpv	gpv	gpv	gpv	dmg-norm		20	20	dmg%		250	250																					0
Runeword144	Mighty	1				weap										gvb	gvb	gvb	gvb	gvb	gvb	dmg-norm		25	25	dmg%		300	300																					0
Runeword145	Poisonous	1				tors	shld	helm	char	boot	belt					gcg						gethit-skill	Poison Surge	5	5																									0
Runeword146	Poisonous	1				tors	shld	helm	char	boot	belt					gfg						gethit-skill	Poison Surge	8	8																									0
Runeword147	Poisonous	1				tors	shld	helm	char	boot	belt					gsg						gethit-skill	Poison Surge	11	11																									0
Runeword148	Poisonous	1				tors	shld	helm	char	boot	belt					glg						gethit-skill	Poison Surge	14	15																									0
Runeword149	Poisonous	1				tors	shld	helm	char	boot	belt					gpg						gethit-skill	Poison Surge	17	20																									0
Runeword150	Poisonous	1				tors	shld	helm	char	boot	belt					ggb						gethit-skill	Poison Surge	20	25																									0
Runeword151	Poisonous	1				tors	shld	helm	char	boot	belt					gcg	gcg					gethit-skill	Poison Surge	6	6																									0
Runeword152	Poisonous	1				tors	shld	helm	char	boot	belt					gfg	gfg					gethit-skill	Poison Surge	9	9																									0
Runeword153	Poisonous	1				tors	shld	helm	char	boot	belt					gsg	gsg					gethit-skill	Poison Surge	12	12																									0
Runeword154	Poisonous	1				tors	shld	helm	char	boot	belt					glg	glg					gethit-skill	Poison Surge	15	16																									0
Runeword155	Poisonous	1				tors	shld	helm	char	boot	belt					gpg	gpg					gethit-skill	Poison Surge	18	21																									0
Runeword156	Poisonous	1				tors	shld	helm	char	boot	belt					ggb	ggb					gethit-skill	Poison Surge	21	26																									0
Runeword157	Poisonous	1				tors	shld	helm	char							gcg	gcg	gcg				gethit-skill	Poison Surge	7	7																									0
Runeword158	Poisonous	1				tors	shld	helm	char							gfg	gfg	gfg				gethit-skill	Poison Surge	10	10																									0
Runeword159	Poisonous	1				tors	shld	helm	char							gsg	gsg	gsg				gethit-skill	Poison Surge	13	13																									0
Runeword160	Poisonous	1				tors	shld	helm	char							glg	glg	glg				gethit-skill	Poison Surge	16	17																									0
Runeword161	Poisonous	1				tors	shld	helm	char							gpg	gpg	gpg				gethit-skill	Poison Surge	19	22																									0
Runeword162	Poisonous	1				tors	shld	helm	char							ggb	ggb	ggb				gethit-skill	Poison Surge	22	27																									0
Runeword163	Poisonous	1				tors	shld	helm								gcg	gcg	gcg	gcg			gethit-skill	Poison Surge	8	8																									0
Runeword164	Poisonous	1				tors	shld	helm								gfg	gfg	gfg	gfg			gethit-skill	Poison Surge	11	11																									0
Runeword165	Poisonous	1				tors	shld	helm								gsg	gsg	gsg	gsg			gethit-skill	Poison Surge	14	14																									0
Runeword166	Poisonous	1				tors	shld	helm								glg	glg	glg	glg			gethit-skill	Poison Surge	17	18																									0
Runeword167	Poisonous	1				tors	shld	helm								gpg	gpg	gpg	gpg			gethit-skill	Poison Surge	20	23																									0
Runeword168	Poisonous	1				tors	shld	helm								ggb	ggb	ggb	ggb			gethit-skill	Poison Surge	23	28																									0
Runeword169	Poisonous	1				tors										gcg	gcg	gcg	gcg	gcg		gethit-skill	Poison Surge	9	9																									0
Runeword170	Poisonous	1				tors										gfg	gfg	gfg	gfg	gfg		gethit-skill	Poison Surge	12	12																									0
Runeword171	Poisonous	1				tors										gsg	gsg	gsg	gsg	gsg		gethit-skill	Poison Surge	15	15																									0
Runeword172	Poisonous	1				tors										glg	glg	glg	glg	glg		gethit-skill	Poison Surge	18	19																									0
Runeword173	Poisonous	1				tors										gpg	gpg	gpg	gpg	gpg		gethit-skill	Poison Surge	21	24																									0
Runeword174	Poisonous	1				tors										ggb	ggb	ggb	ggb	ggb		gethit-skill	Poison Surge	24	29																									0
Runeword175	Poisonous	1				tors										gcg	gcg	gcg	gcg	gcg	gcg	gethit-skill	Poison Surge	10	10																									0
Runeword176	Poisonous	1				tors										gfg	gfg	gfg	gfg	gfg	gfg	gethit-skill	Poison Surge	13	13																									0
Runeword177	Poisonous	1				tors										gsg	gsg	gsg	gsg	gsg	gsg	gethit-skill	Poison Surge	16	16																									0
Runeword178	Poisonous	1				tors										glg	glg	glg	glg	glg	glg	gethit-skill	Poison Surge	19	20																									0
Runeword179	Poisonous	1				tors										gpg	gpg	gpg	gpg	gpg	gpg	gethit-skill	Poison Surge	22	25																									0
Runeword180	Poisonous	1				tors										ggb	ggb	ggb	ggb	ggb	ggb	gethit-skill	Poison Surge	25	30																									0
Runeword181	Poisonous	1				weap	glov	misl								gcg						hit-skill	Poison Surge	2	1																									0
Runeword182	Poisonous	1				weap	glov	misl								gfg						hit-skill	Poison Surge	3	2																									0
Runeword183	Poisonous	1				weap	glov	misl								gsg						hit-skill	Poison Surge	4	4																									0
Runeword184	Poisonous	1				weap	glov	misl								glg						hit-skill	Poison Surge	5	6																									0
Runeword185	Poisonous	1				weap	glov	misl								gpg						hit-skill	Poison Surge	6	8																									0
Runeword186	Poisonous	1				weap	glov	misl								ggb						hit-skill	Poison Surge	8	10																									0
Runeword187	Poisonous	1				weap	glov									gcg	gcg					hit-skill	Poison Surge	4	2																									0
Runeword188	Poisonous	1				weap	glov									gfg	gfg					hit-skill	Poison Surge	5	3																									0
Runeword189	Poisonous	1				weap	glov									gsg	gsg					hit-skill	Poison Surge	6	5																									0
Runeword190	Poisonous	1				weap	glov									glg	glg					hit-skill	Poison Surge	7	7																									0
Runeword191	Poisonous	1				weap	glov									gpg	gpg					hit-skill	Poison Surge	8	9																									0
Runeword192	Poisonous	1				weap	glov									ggb	ggb					hit-skill	Poison Surge	10	11																									0
Runeword193	Poisonous	1				weap										gcg	gcg	gcg				hit-skill	Poison Surge	6	3																									0
Runeword194	Poisonous	1				weap										gfg	gfg	gfg				hit-skill	Poison Surge	7	4																									0
Runeword195	Poisonous	1				weap										gsg	gsg	gsg				hit-skill	Poison Surge	8	6																									0
Runeword196	Poisonous	1				weap										glg	glg	glg				hit-skill	Poison Surge	9	8																									0
Runeword197	Poisonous	1				weap										gpg	gpg	gpg				hit-skill	Poison Surge	10	10																									0
Runeword198	Poisonous	1				weap										ggb	ggb	ggb				hit-skill	Poison Surge	12	12																									0
Runeword199	Poisonous	1				weap										gcg	gcg	gcg	gcg			hit-skill	Poison Surge	8	4																									0
Runeword200	Poisonous	1				weap										gfg	gfg	gfg	gfg			hit-skill	Poison Surge	9	5																									0
Runeword201	Poisonous	1				weap										gsg	gsg	gsg	gsg			hit-skill	Poison Surge	10	7																									0
Runeword202	Poisonous	1				weap										glg	glg	glg	glg			hit-skill	Poison Surge	11	9																									0
Runeword203	Poisonous	1				weap										gpg	gpg	gpg	gpg			hit-skill	Poison Surge	12	12																									0
Runeword204	Poisonous	1				weap										ggb	ggb	ggb	ggb			hit-skill	Poison Surge	14	15																									0
Runeword205	Poisonous	1				weap										gcg	gcg	gcg	gcg	gcg		hit-skill	Poison Surge	10	5																									0
Runeword206	Poisonous	1				weap										gfg	gfg	gfg	gfg	gfg		hit-skill	Poison Surge	11	6																									0
Runeword207	Poisonous	1				weap										gsg	gsg	gsg	gsg	gsg		hit-skill	Poison Surge	12	8																									0
Runeword208	Poisonous	1				weap										glg	glg	glg	glg	glg		hit-skill	Poison Surge	13	10																									0
Runeword209	Poisonous	1				weap										gpg	gpg	gpg	gpg	gpg		hit-skill	Poison Surge	14	13																									0
Runeword210	Poisonous	1				weap										ggb	ggb	ggb	ggb	ggb		hit-skill	Poison Surge	16	16																									0
Runeword211	Poisonous	1				weap										gcg	gcg	gcg	gcg	gcg	gcg	hit-skill	Poison Surge	12	6																									0
Runeword212	Poisonous	1				weap										gfg	gfg	gfg	gfg	gfg	gfg	hit-skill	Poison Surge	13	7																									0
Runeword213	Poisonous	1				weap										gsg	gsg	gsg	gsg	gsg	gsg	hit-skill	Poison Surge	14	9																									0
Runeword214	Poisonous	1				weap										glg	glg	glg	glg	glg	glg	hit-skill	Poison Surge	15	11																									0
Runeword215	Poisonous	1				weap										gpg	gpg	gpg	gpg	gpg	gpg	hit-skill	Poison Surge	16	15																									0
Runeword216	Poisonous	1				weap										ggb	ggb	ggb	ggb	ggb	ggb	hit-skill	Poison Surge	18	18																									0
Runeword217	Deadly	1				tors	shld	helm	char	boot	belt					gcr						gethit-skill	Fire Surge	5	5																									0
Runeword218	Deadly	1				tors	shld	helm	char	boot	belt					gfr						gethit-skill	Fire Surge	8	8																									0
Runeword219	Deadly	1				tors	shld	helm	char	boot	belt					gsr						gethit-skill	Fire Surge	11	11																									0
Runeword220	Deadly	1				tors	shld	helm	char	boot	belt					glr						gethit-skill	Fire Surge	14	15																									0
Runeword221	Deadly	1				tors	shld	helm	char	boot	belt					gpr						gethit-skill	Fire Surge	17	20																									0
Runeword222	Deadly	1				tors	shld	helm	char	boot	belt					grb						gethit-skill	Fire Surge	20	25																									0
Runeword223	Deadly	1				tors	shld	helm	char	boot	belt					gcr	gcr					gethit-skill	Fire Surge	6	6																									0
Runeword224	Deadly	1				tors	shld	helm	char	boot	belt					gfr	gfr					gethit-skill	Fire Surge	9	9																									0
Runeword225	Deadly	1				tors	shld	helm	char	boot	belt					gsr	gsr					gethit-skill	Fire Surge	12	12																									0
Runeword226	Deadly	1				tors	shld	helm	char	boot	belt					glr	glr					gethit-skill	Fire Surge	15	16																									0
Runeword227	Deadly	1				tors	shld	helm	char	boot	belt					gpr	gpr					gethit-skill	Fire Surge	18	21																									0
Runeword228	Deadly	1				tors	shld	helm	char	boot	belt					grb	grb					gethit-skill	Fire Surge	21	26																									0
Runeword229	Deadly	1				tors	shld	helm	char							gcr	gcr	gcr				gethit-skill	Fire Surge	7	7																									0
Runeword230	Deadly	1				tors	shld	helm	char							gfr	gfr	gfr				gethit-skill	Fire Surge	10	10																									0
Runeword231	Deadly	1				tors	shld	helm	char							gsr	gsr	gsr				gethit-skill	Fire Surge	13	13																									0
Runeword232	Deadly	1				tors	shld	helm	char							glr	glr	glr				gethit-skill	Fire Surge	16	17																									0
Runeword233	Deadly	1				tors	shld	helm	char							gpr	gpr	gpr				gethit-skill	Fire Surge	19	22																									0
Runeword234	Deadly	1				tors	shld	helm	char							grb	grb	grb				gethit-skill	Fire Surge	22	27																									0
Runeword235	Deadly	1				tors	shld	helm								gcr	gcr	gcr	gcr			gethit-skill	Fire Surge	8	8																									0
Runeword236	Deadly	1				tors	shld	helm								gfr	gfr	gfr	gfr			gethit-skill	Fire Surge	11	11																									0
Runeword237	Deadly	1				tors	shld	helm								gsr	gsr	gsr	gsr			gethit-skill	Fire Surge	14	14																									0
Runeword238	Deadly	1				tors	shld	helm								glr	glr	glr	glr			gethit-skill	Fire Surge	17	18																									0
Runeword239	Deadly	1				tors	shld	helm								gpr	gpr	gpr	gpr			gethit-skill	Fire Surge	20	23																									0
Runeword240	Deadly	1				tors	shld	helm								grb	grb	grb	grb			gethit-skill	Fire Surge	23	28																									0
Runeword241	Deadly	1				tors										gcr	gcr	gcr	gcr	gcr		gethit-skill	Fire Surge	9	9																									0
Runeword242	Deadly	1				tors										gfr	gfr	gfr	gfr	gfr		gethit-skill	Fire Surge	12	12																									0
Runeword243	Deadly	1				tors										gsr	gsr	gsr	gsr	gsr		gethit-skill	Fire Surge	15	15																									0
Runeword244	Deadly	1				tors										glr	glr	glr	glr	glr		gethit-skill	Fire Surge	18	19																									0
Runeword245	Deadly	1				tors										gpr	gpr	gpr	gpr	gpr		gethit-skill	Fire Surge	21	24																									0
Runeword246	Deadly	1				tors										grb	grb	grb	grb	grb		gethit-skill	Fire Surge	24	29																									0
Runeword247	Deadly	1				tors										gcr	gcr	gcr	gcr	gcr	gcr	gethit-skill	Fire Surge	10	10																									0
Runeword248	Deadly	1				tors										gfr	gfr	gfr	gfr	gfr	gfr	gethit-skill	Fire Surge	13	13																									0
Runeword249	Deadly	1				tors										gsr	gsr	gsr	gsr	gsr	gsr	gethit-skill	Fire Surge	16	16																									0
Runeword250	Deadly	1				tors										glr	glr	glr	glr	glr	glr	gethit-skill	Fire Surge	19	20																									0
