index	*ID	version	enabled	*Skip Generation	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
The Mad Celt's Shining Sparkly	31	0	1				1	1	75	75	brg	Ring		12	40000	dgrn	dgrn						bar		2	2	skill-rand	5	126	155	dmg%		50	100	str/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Pole Arm Mastery	5	60	oskill	Elemental Fury	5	15	move3		25	25	addxp		3	3	skill-rand	5	126	155	skill	Berserk	5	15		0
Yagul's Wrath	32	100	1				1	1	75	75	drn	Ring		12	40000	dblu	dblu						dru		2	2	skill-rand	5	221	250	dmg%		50	100	vit/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Monsoon	5	60	oskill	Battle Command	5	15	move3		25	25	addxp		3	3	skill-rand	5	221	250	skill	Fury	5	15		0
Killjoy's Attitude	33	100	1				1	1	75	75	arn	Ring		12	40000	blac	blac						ass		2	2	skill-rand	5	251	280	dmg%		50	100	vit/lvl	8			res-all		20	25	mag%		30	35	kill-skill	SCold Missiles	10	60	oskill	Eagle Eye	5	15	move3		25	25	addxp		3	3	skill-rand	5	251	280	skill	Shadow Master	5	15		0
Lovers' Pendant	34	0	1				6	1	10	5	amu	Amulet		7	15000	cred	cred		invamu1				regen		50	100	regen-mana		40	80	heal-kill		10	20	mana-kill		5	10	mag%		30	60	move2		10	20																										0
Eye of the Witch	35	0	1				5	1	20	10	amu	Amulet		8	20000	lblu	lblu		invamu2				allskills		1	2	mana		50	100	light		3	3	cast1		15	15	oskill	Meditation	1	1	regen-mana		30	30	move1		15	15	res-cold		20	40	res-ltng		20	40	oskill	Slow Teleport	1	1										0
Collar of the Minotaur	36	0	1				4	1	30	20	amu	Amulet		9	25000	dred	dred		invamu3				str		15	15	vit		15	15	crush		15	15	res-fire		40	40	dmg-max		10	30	lifesteal		5	10	red-dmg		3	5	oskill	Might	5	10	allskills		1	1	oskill	Bash	1	10										0
Beads of the Guardian	37	0	1				3	1	40	30	amu	Amulet		10	30000	lgry	lgry		invamu4				ac%		50	50	ac/lvl	8			red-dmg		10	20	red-mag		10	20	res-all		30	30	nofreeze		1	1	move2		20	20	dex		10	15	allskills		2	2	oskill	Energy Shield	10	20	dmg-to-mana		100	200						0
Eye of the Beholder	38	0	1				1	1	60	50	amu	Amulet		12	40000	bwht	bwht		invamu5				kill-skill	Cold Surge	10	40	aura	Cold Pierce Aura	10	20	hp		100	100	mana		50	50	cast1		15	15	swing1		15	15	ac		100	100	coldskill		1	3	allskills		1	1	oskill	370	1	1	gethit-skill	Time Stop	17	20						0
Spellcasters Aide	39	0	1				1	1	75	60	amu	Amulet		12	40000	cgrn			invamu7				mana%		50	50	mana/lvl	12			allskills		2	3	red-dmg%		10	15	aura	Sanctuary	20	30	cast3		60	60	hp/lvl	12			enepercent		10	30																		0
Talisman of Benzaiten	40	0	1				8	1	45	45	zam	Amulet		12	40000	oran	oran						allskills		1	1	skilltab	0	0	1	skilltab	1	0	1	skilltab	2	0	1	red-dmg%		10	10	skill	Valkyrie Mastery	3	6	ac/lvl	40			gold%		50	100	regen		50	100	dex/lvl	6												0
Talisman of Fukurokuju	41	0	1				8	1	45	45	sam	Amulet		12	40000	cred	cred		invfukurokuju				allskills		1	1	skilltab	3	0	1	skilltab	4	0	1	skilltab	5	0	1	red-dmg%		10	10	skill	Warmth	3	6	ac/lvl	40			gold%		50	100	regen		50	100	enr/lvl	6												0
Talisman of Ebisu	42	0	1				8	1	45	45	nam	Amulet		12	40000	dred	dred						allskills		1	1	skilltab	6	0	1	skilltab	7	0	1	skilltab	8	0	1	red-dmg%		10	10	skill	Bone Armor	3	6	ac/lvl	40			gold%		50	100	regen		50	100	enr/lvl	6												0
Talisman of Daikokuten	43	0	1				8	1	45	45	pam	Amulet		12	40000	blac	blac						allskills		1	1	skilltab	9	0	1	skilltab	10	0	1	skilltab	11	0	1	red-dmg%		10	10	skill	Holy Shield	3	6	ac/lvl	40			gold%		50	100	regen		50	100	str/lvl	6												0
Talisman of Bishamonten	44	0	1				8	1	45	45	bam	Amulet		12	40000	dblu	dblu						allskills		1	1	skilltab	12	0	1	skilltab	13	0	1	skilltab	14	0	1	red-dmg%		10	10	skill	Iron Skin	3	6	ac/lvl	40			gold%		50	100	regen		50	100	str/lvl	6												0
Talisman of Hotei	45	100	1				8	1	45	45	dam	Amulet		12	40000	dyel	dyel						allskills		1	1	skilltab	15	0	1	skilltab	16	0	1	skilltab	17	0	1	red-dmg%		10	10	skill	Spirit of Nature	3	6	ac/lvl	40			gold%		50	100	regen		50	100	vit/lvl	6												0
Talisman of Kisshoten	46	100	1				8	1	45	45	aam	Amulet		12	40000	cred	cred						allskills		1	1	skilltab	18	0	1	skilltab	19	0	1	skilltab	20	0	1	red-dmg%		10	10	skill	Wake of Fire Sentry	3	6	ac/lvl	40			gold%		50	100	regen		50	100	dex/lvl	6												0
Valhalla's Pendant	47	0	1				3	1	60	60	zam	Amulet		12	40000	bwht	bwht						ama		2	2	skill	Valkyrie	5	10	skilltab	1	1	1	dmg%		50	100	deadly		33	33	gethit-skill	Time Stop	10	20	hp		60	60	str		50	50	vit		50	50	regen		50	150										0
Jade's Locket	48	0	1				3	1	60	60	sam	Amulet		12	40000	cblu	cblu						sor		2	2	cast3		30	30	mana%		15	15	mana		60	60	hp		60	60	red-mag		15	25	res-all		35	35	skill	Enchant	6	6	hit-skill	STwister	5	40	red-dmg%		10	20	swing2		30	30						0
Daeveran's Stone	49	0	1				3	1	60	60	nam	Amulet		12	40000	lgry	lgry						nec		2	2	hp%		15	15	extra-mag2		10	30	cast3		30	30	res-all		25	25	hp		60	60	skill	Bone Armor	5	10	regen		50	150	regen-mana		50	100	move2		20	20	red-dmg%		10	20						0
Holy Deviant	50	0	1				3	1	60	60	pam	Amulet		12	40000	whit	whit						pal		2	2	oskill	Poison Mastery Passive	1	7	abs-mag%		1	3	lifesteal		8	12	manasteal		4	8	hit-skill	Poison Nova	2	50	skilltab	9	1	1	pierce-pois		40	50	enr		20	20	str		20	20	oskill	Venom	25	25						0
Khisanth	51	0	1				3	1	60	60	bam	Amulet		12	40000	oran	oran						bar		2	2	red-dmg%		10	20	red-mag		15	25	skill	Natural Resistance	4	4	skill	Iron Skin	4	4	strpercent		10	20	swing3		30	30	hp/lvl	8			str		25	25	regen		50	150	skilltab	13	2	3						0
Grim Creaper	52	100	1				3	1	60	60	dam	Amulet		12	40000	dgrn	dgrn						dru		2	2	skill	Raven	7	7	regen		50	150	crush		15	30	balance3		30	30	ac%		50	100	dex		30	30	skilltab	15	1	1	extra-summ		10	20	skill	Summon Spirit Wolf	7	7	skill	Summon Fenris	7	7						0
Sub Sanity	53	100	1				3	1	60	60	aam	Amulet		12	40000	cblu	cblu						ass		2	2	dmg%		50	100	skilltab	20	1	1	skill	Fade	4	4	skill	Quickness	4	4	skill	Shade Armor	4	4	hit-skill	Amplify Damage	5	30	dex		20	20	enr		20	20	vit		20	20										0
Plague's Last Arrowhead	54	0	1				1	1	75	75	zam	Amulet		12	40000	cgrn	cgrn						ama		1	1	res-all		30	50	manasteal		10	15	swing1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
The Mistress' Leather Collar	55	0	1				1	1	75	75	sam	Amulet		12	40000	dgrn	dgrn						sor		1	1	res-all		30	50	regen-mana		100	150	cast1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
The Cursed Donut	56	0	1				1	1	75	75	nam	Amulet		12	40000	blac			invcurseddonut				nec		1	1	res-all		30	50	regen-mana		100	150	cast1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
BlackKnight's Holy Signet	57	0	1				1	1	75	75	pam	Amulet		12	40000	dblu	dblu						pal		1	1	res-all		30	50	lifesteal		10	15	balance1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
Smaqdoun's Painful Pride	58	0	1				1	1	75	75	bam	Amulet		12	40000	blac	blac						bar		1	1	res-all		30	50	lifesteal		10	15	swing1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
Yagul's Bloody Rage	59	100	1				1	1	75	75	dam	Amulet		12	40000	cred	cred						dru		1	1	res-all		30	50	regen		100	150	balance1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
Dweia's Revenge	60	100	1				1	1	75	75	aam	Amulet		12	40000	dpur	dpur						ass		1	1	res-all		30	50	regen		100	150	swing1		30	30	mag%		35	50	addxp		5	5	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Static Field	2	35										0
Jindujun	61	100	1				5	1	45	40	jew	Jewel		7	20000	lblu	lblu						move3		30	30	dex		25	30	block		1	1	swing2		30	30	cast2		30	30																														0
Bohemian Stone	62	100	1				5	1	50	45	jew	Jewel		9	30000	cgrn	cgrn						dmg-pois	25	7680	10240	red-dmg%		1	3	pierce-pois		4	5	kill-skill	Poison Surge	2	40																																		0
Icestorm Shard	63	100	1				5	1	55	50	jew	Jewel		9	30000	cblu	cblu						dmg-cold	125	150	225	kill-skill	Cold Surge	2	40	pierce-cold		4	5	regen-mana		20	30																																		0
Lady Eboshi's Greed	64	100	1				5	1	50	45	jew	Jewel		8	25000	dyel	dyel						gold%		1	100	mag%		1	100	lifesteal		5	8	manasteal		5	8	res-all		1	20																														0
Salamander Stone	65	100	1				5	1	55	50	jew	Jewel		9	30000	dred	dred						regen		25	50	dmg-fire		175	225	kill-skill	Fire Surge	2	40	pierce-fire		4	5																																		0
Nexus Star	66	100	1				5	1	50	45	jew	Jewel		8	25000	lgld	lgld						res-all		10	30	res-all-max		1	1	extra-mag2		5	10	dmg-mag		100	200	kill-skill	Magic Surge	2	40																														0
Smiiiff Stone	67	100	1				5	1	60	55	jew	Jewel		10	35000	dgry	dgry						ama		0	1	ass		0	1	bar		0	1	dru		0	1	nec		0	1	sor		0	1	pal		0	1	ease		-4	-8	levelreq		5	10														0
Larias' Licentious Lament	68	100	1				5	1	60	55	jew	Jewel		10	35000	lyel	lyel						strpercent		1	5	dexpercent		1	5	vitpercent		1	5	enepercent		1	5	str		1	20	dex		1	20	vit		1	20	enr		1	20																		0
Sescheronya's Spark	69	100	1				5	1	55	50	jew	Jewel		9	30000	whit	whit						dmg-ltng		1	400	kill-skill	Lightning Surge	2	40	pierce-ltng		4	5	hp		5	20	mana		5	20																														0
Ideal Craft	70	100	1				5	1	45	40	jew	Jewel		7	20000	dred							swing2		15	30	dmg%		40	75	att%		25	50	ease		25	50	mana		-20	-40																														0
Frozen Apocalypse	71	100	1				1	1	92	50	jew	Jewel		10	40000	dblu			invfrozenapocalypse				oskill	370	1	1	allskills		1	1	pierce-cold		4	8	abs-cold%		1	2	regen-mana		10	100	levelreq		20	20																										0
Infernal Gemstone	72	100	1				1	1	92	50	jew	Jewel		10	40000	dred			invinfernalgemstone				oskill	Fire Mastery	1	1	allskills		1	1	pierce-fire		4	8	abs-fire%		1	2	regen		20	200	levelreq		20	20																										0
Electrifying Vortex	73	100	1				1	1	92	50	jew	Jewel		10	40000	cblu			invelectrifyingvortex				oskill	Lightning Mastery	1	1	allskills		1	1	pierce-ltng		4	8	abs-ltng%		1	2	mag%		10	80	levelreq		20	20																										0
Intoxicating Crystal	74	100	1				1	1	92	50	jew	Jewel		10	40000	dgrn			invintoxicatingcrystal				oskill	Poison Mastery Passive	1	1	allskills		1	1	pierce-pois		4	8	res-pois-max		1	3	res-pois		10	30	gold%		10	80	levelreq		20	20																						0
Celestial Shard	75	100	1				1	1	92	50	jew	Jewel		10	40000	whit			invcelestialshard				oskill	Magic Mastery	1	1	allskills		1	1	red-mag		10	20	res-mag-max		1	3	dmg-mag		175	225	levelreq		20	20																										0
Demonic Voidstone	76	100	1				1	1	92	50	jew	Jewel		10	40000	blac			invdemonicvoidstone				oskill	Claw Mastery	1	10	allskills		1	1	red-dmg%		1	5	deadly		2	10	levelreq		20	20	oskill	411	1	1																										0
Kenji's Winged Arrows	77	0	1				8	1	25	18	aq2	Arrows		8	20000	oran	oran						noconsume		100	100	dmg%		50	100	swing2		20	30	dex		25	50	move2		20	30	regen		100	200																										0
Delthanes' Enchanted Bolts	78	0	1				8	1	25	18	cq2	Bolts		8	20000	blac	blac						noconsume		100	100	hit-skill	Fire Surge	25	3	hit-skill	Cold Surge	25	3	hit-skill	Lightning Surge	25	3	mag%		50	100	allskills		1	1	swing2		40	60																						0
Sting of the Scorpion King	79	0	1				6	1	35	28	aq2	Arrows		8	20000	lgrn	lgrn						noconsume		100	100	allskills		1	1	oskill	Venom	10	20	swing1		50	50	att		300	500	pierce-pois		10	15	enepercent		10	15	pierce		50	50	hit-skill	Poison Mastery	1	30														0
Pandora's Quiver	80	0	1				6	1	35	28	cq2	Bolts		8	20000	bwht	bwht						noconsume		100	100	allskills		1	1	mag%		50	100	gold%		50	100	kill-skill	Freezing Arrow	10	30	kill-skill	Ice Arrow	10	30	kill-skill	Immolation Arrow	10	30	kill-skill	Fire Arrow	10	30	hit-skill	Lower Resist	1	30	enr		-30	-30	regen		-100	-100						0
Quiver of Prince Ashitaka	81	0	1				4	1	40	36	aq2	Arrows		10	30000	cblu	cblu						noconsume		100	100	allskills		1	1	skilltab	0	1	2	pierce-fire		10	15	pierce-cold		10	15	pierce-ltng		10	15	pierce-pois		10	15	mana-on-striking		1	2	deadly		25	50														0
Casca's Deadly Bolts	82	0	1				4	1	40	36	cq2	Bolts		10	30000	cred	cred						noconsume		100	100	allskills		1	1	skilltab	0	1	1	swing1		20	30	str		50	100	dmg-ac		-10	-10	hit-skill	Amplify Damage	5	30	att		50	200	dmg/lvl	8																0
Arrows of the Ice Queen	83	0	1				3	1	50	45	aq2	Arrows		10	30000	dblu	dblu						noconsume		100	100	allskills		1	2	dex		25	50	dmg-cold	250	300	400	dmg-cold/lvl	48			pierce-cold		10	20	oskill	Cold Arrow	5	10	oskill	370	1	1	mana-kill		10	30														0
Infernal Apocalypse	84	0	1				3	1	50	45	cq2	Bolts		10	30000	dred	dred						noconsume		100	100	allskills		2	2	swing1		40	40	str		25	50	dex		25	50	dmg-fire		400	500	pierce-fire		15	30	dmg-fire/lvl	48			kill-skill	Fire Surge	17	40														0
Legolas' Quiver	85	0	1				2	1	60	54	aq2	Arrows		12	40000	cgrn	cgrn						noconsume		100	100	hit-skill	Arrow Hit Skill	8	60	dmg-min		25	50	dmg-demon		200	300	dmg-undead		200	300	dexpercent		10	30	pierce		40	80	att		200	400																		0
Borgoff's Bolts	86	0	1				2	1	60	54	cq2	Bolts		12	40000	bwht	bwht						noconsume		100	100	hit-skill	Lightning Surge	10	50	pierce-ltng		10	30	vitpercent		10	30	hp		100	200	lightningskill		1	3	allskills		1	1																						0
Tanaris' Judgement	87	0	1				1	1	92	70	aq2	Arrows		12	40000				tanaris				noconsume		100	100	pierce-ltng		20	30	hit-skill	Lightning Enhanced Arrow	10	50	kill-skill	Judgement Proc	5	40	oskill	Lightning Strafe	1	30	dmg-max		1	100	pierce		100	100	life-on-striking		1	2	dmg%/lvl	12																0
Daedalus' Bolts	88	0	1				1	1	92	70	cq2	Bolts		12	40000				daedalus				noconsume		100	100	hit-skill	Double Physical Damage	1	1	deadly		50	100	strpercent		20	40	heal-kill		50	100	reduce-ac		25	50	att		100	200	hp%		10	20																		0
Hijikata's Heart-blood	89	100	1				1	1	10	12	cix	Hachigane		6	10000	blac	blac						tinkerflag2		25	35	ac%		300	400	lifesteal		6	8	oskill	Sword Mastery	4	10	oskill	Critical Strike	4	10	addxp		3	5	balance1		20	20	mana/lvl	6			red-dmg%		10	10														0
The Diamond Hairband	90	100	1				1	1	20	30	ci0	Circlet		7	15000	bwht			invci0				tinkerflag2		25	35	res-all		20	40	red-dmg		5	10	red-mag		4	8	ac/lvl	16			gold%		100	150	mag%		100	150	res-all-max		1	2																		0
Zan-Esus' Commitment	91	100	1				1	1	40	40	ci1	Coronet		9	25000	cblu	cblu						tinkerflag2		25	35	allskills		1	1	cast3		20	30	mana%		30	50	hp		30	60	oskill	Warmth	5	10	spell-damage		15	30																						0
Lunar Charm	92	100	1				1	1	50	60	ci2	Tiara		10	30000	lgry			invlunarcharm				tinkerflag2		25	35	rip		1	1	dmg-undead		150	300	dmg-demon		150	300	hit-skill	Evade	1	40	extra-mag2		10	30	res-all		30	50	ac%		200	300	kill-skill	Magic Surge	5	50														0
Heart of Jewels	93	100	1				1	1	60	70	ci3	Diadem		11	35000	lpur	lpur		invci3				tinkerflag2		25	35	res-all		30	40	res-all-max		3	5	allskills		1	2	all-stats		20	40	gold%		75	150	mag%		75	150	cast2		20	40	red-mag		10	20	sock		1	2										0
Krok's Basher	94	0	1				1	1	4	5	hax	Hand Axe		6	10000	dyel	dyel		invhaxu				tinkerflag2		25	35	dmg%		125	200	crush		10	30	swing1		15	15	dmg/lvl	8			res-pois-len		50	50	res-all		10	10	oskill	Stun	1	1	att		60	60	att/lvl	4												0
Treefeller	95	0	1				1	1	12	9	axe	Axe		7	15000	dgrn	dgrn		invaxeu				tinkerflag2		25	35	dmg/lvl	8			dmg-max		20	40	crush		20	30	swing2		-30	-30	dmg%		200	300	ease		50	50	str		25	50																		0
The Skeleton Hunter	96	0	1				1	1	20	15	2ax	Double Axe		8	20000	whit	whit		invmpiu				tinkerflag2		25	35	dmg-undead		300	400	ignore-undead-resist		1	1	res-mag		10	20	dmg-norm		20	30	heal-kill		10	20	dmg/lvl	8			ethereal		1	1																		0
High General's Pick	97	0	1				1	1	28	21	mpi	Military Pick		8	20000	dred	dred		invmpiu				tinkerflag2		25	35	deadly		100	100	swing2		20	20	stam		100	200	move2		20	30	hit-skill	Axe Proc	15	10	life-on-striking		1	1																						0
