skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Ice Arrow	21	ama	ice arrow												lightningarrow								42371				par3																																																																																							lightningarrow													1	6		rng		miss										A1	A1	A1				1													1			1										30	20					Freezing Arrow								skill('Attack'.clc6)	1	1					1	7	20	1	1											ln12/2	num targets					4-(1-min(1,stat('pierce_idx'.accr)-(stat('pierce_idx'.accr)/3)*3))*3						2	lightning spells from target	1	extra spells/level	20	Target search radius									5	damage synergy									1								8	128														ltng	1						15	10	15	20	25	30	(((100+(skill('Fire Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Freezing Arrow'.blvl))*par8)*((stat('item_crossbowpassive'.accr)>0)?25:10))/10-100								512	4000	0
Tornado Shot	22	ama	tornado shot		8													tornadoshotarrow	tornadoshotbolt				3		red	25		velocitypercent	-lvl*2	normal_damage_reduction	-5*lvl																																																																														17						tornadoshotarrow	tornadoshotbolt											1	4		rng		miss										A1	A1	xx				1													1			1										18	20					Multiple Shot								skill('Attack'.clc6)	1	1					1	7	10	1	1											1+lvl/20+skill('Legendary Arrow'.blvl)/20	# main projectiles			1+lvl/20	triggered	((skill('Sharpened Focus'.blvl)+skill('Tornado Shot'.blvl))>39)?1:4				((skill('Sharpened Focus'.blvl)+skill('Tornado Shot'.blvl))>39)?1:0																15	damage and ar synergy									1	10		10*lvl+skill('Cold Arrow'.blvl)*par8					8	26																																			256	2000	0
Penetrate	23	ama	penetrate																																											penetrate			item_fractionaltargetac	lvl*2/3*(100+blvl*3)/100	item_tohit_percent	ln12*(100+blvl*3)/100																																																																											1	1		rng			miss											xx																	1													18	20														0	0					0	8	0	0	1								1															10	add % to hit with missiles base	5	add % to hit with missiles/level																					1								8																																				768	6000	0
Hailstorm	24	ama	hailstorm												rainofjavelins		1										(((skill('Hailstorm'.blvl)+skill('Wisdom of Athulua'.blvl))>39)*clc6)?16:10																																																																			weapon_throw_1																				rainofjavelins													1	5		rng		jave										TH	TH	xx				1		1	1								1		1			1										24	20					Inferno Fury									1	1					1	7	6	1	1																	((skill('Hailstorm'.blvl)+skill('Wisdom of Athulua'.blvl))>39)?1:2																				15	damage and ar synergy									1	10		10*lvl+skill('Lightning Strike'.blvl)*par8					8	96														cold	2	2	3	5	5	5	3	3	5	7	7	7	skill('Inferno Fury'.blvl)*par8	25	5	5	5				256	2000	0
Plague Javelin	25	ama	plague javelin		8													plaguejav	plaguejav	plaguejav																																																																										amazon_cast_poison		1													17						plaguejav	plaguejav	plaguejav										1	3		rng		thro										TH	TH	xx				1													1			1										12	20					Pyre Javelin									1	1			1		1	7	14	1	1											(((stat('hitpoints'.accr)*3)<stat('maxhp'.accr))*(skill('Athulua Final Hunt Passive'.lvl)>0))?2:1				(((stat('hitpoints'.accr)*4)<stat('maxhp'.accr))*(skill('Athulua Final Hunt Passive'.lvl)>0))?2:1																				10	length synergy	5	damage synergy									1								8	128														pois	1						3	2	3	4	6	8	(skill('Splintering Javelin'.blvl)+skill('Pyre Javelin'.blvl)+skill('Frost Javelin'.blvl)+skill('Lightning Fury'.blvl))*par8	25	2	2	2				512	4000	0
Strafe	26	ama	strafe	8	12													strafearrow	strafebolt								par5																																																																				amazon_dodge_1				paladin_charge									13	20						strafearrow	strafebolt											1	0		rng		miss										A1	A1	A1				1													1			1										30	20					Legendary Arrow								skill('Attack'.clc6)	1	1					1	7	12	1												min(20,(4+lvl/5))	#missiles	ln12+skill('Legendary Arrow'.blvl)*par8	damage %	min(10,((20+lvl)/10))*clc5	min # missiles			((skill('Strafe'.blvl)+skill('Eagle Eye'.blvl))>39)?2:1				10	Damage increase	10	Damage increase per level					35	Radius	15	% frame rollback			15	damage synergy									1	10		10*lvl+skill('Multiple Shot'.blvl)*par8					8	83																																			512	4000	0
Immolation Arrow	27	ama	immolation arrow												immolationarrow																																																																																																			immolationarrow													1	6		rng		miss										A1	A1	A1				1													1			1										6	20					Fire Arrow								skill('Attack'.clc6)	1	1					1	7	4	1	1													par2	damage radius			4-(1-min(1,stat('pierce_idx'.accr)-(stat('pierce_idx'.accr)/3)*3))*3				stat('item_crossbowpassive'.accr)>0	used for third missile attacks in missiles.txt	2	Fire disc radius	3	Radial Damage Radius											5	damage synergy									1								4	128														fire	1	1	2	2	3	4	2	2	2	4	6	8	(((100+(skill('Fire Arrow'.blvl)+skill('Freezing Arrow'.blvl)+skill('Ice Arrow'.blvl))*par8)*((stat('item_crossbowpassive'.accr)>0)?25:10))/10-100								512	4000	0
Valkyrie Mastery	28	ama	valkyrie mastery																																											valkyriemastery																																																																																	1	0		none														xx																	1													30	20					Valkyrie									0	0					0	8	0	0	1	1							1															20	min % chance pierce	3	% chance pierce per level													0	chance to not consume min	66	chance to not consume max					1								8																																				512	4000	0
Evade	29	ama	evade		30																		3		white	ln34+skill('Inner Sight'.blvl)*par7	ln12/3	velocitypercent	ln56-skill('Sharpened Focus'.blvl)*par8	magicresist	-5-lvl/2																																																															amazon_eyeofzeus											warcry	warcry		18	30																		1	0		none												SC	SC	xx					4												1			1							amazon_eyeofzeus	warcry		1	20								1						1	1					1	8	4	0	1																							15	radius	1	radius per level	150	duration	5	duration/lvl	-50	slow	-3	slow/lvl	5	duration synergy	3	slow synergy									1								8																																				512	4000	0
Fend	30	ama	fend		8										fendbig			fend	fend	fend			3		battlecry	35+((skill('Fend'.blvl)+skill('Critical Strike'.blvl))>39)*215		damageresist	-10-lvl/2	velocitypercent	-ln12																																																																amazon_jab_1	1													17					fendbig	fend	fend	fend										1	0		h2h		spea										A1	A1	A1			1	1		1	1								1		1			1										6	20					Spearstorm									1	1					1	6	12	1	1											stat('pierce_idx'.accr)-(stat('pierce_idx'.accr)/2*2)				1-(stat('pierce_idx'.accr)-(stat('pierce_idx'.accr)/2*2))		((stat('pierce_idx'.accr)-(stat('pierce_idx'.accr)/2*2))==1)?4:1						30	slow	1	slow per level											15	ar synergy									1	15		15*lvl+skill('Spearstorm'.blvl)*par8					8	128																																			256	2000	0
Freezing Arrow	31	ama	freezing arrow												freezingarrow																																																																																																			freezingarrow													1	7		rng		miss										A1	A1	A1				1													1			1										18	20					Immolation Arrow								skill('Attack'.clc6)	1	1					1	7	18	1	1																	4-(1-min(1,stat('pierce_idx'.accr)-(stat('pierce_idx'.accr)/3)*3))*3				stat('item_crossbowpassive'.accr)>0	used for third missile attacks in missiles.txt	6	Radius of impact											5	length synergy	5	damage synergy									1								8	128														cold	10	5	9	12	15	20	15	8	12	18	24	30	(((100+(skill('Fire Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Ice Arrow'.blvl))*par8)*((stat('item_crossbowpassive'.accr)>0)?25:10))/10-100	25	5	5	5				512	4000	0
Valkyrie	32	ama	valkyrie		16																							damagepercent	(100+(skill('Valkyrie Mastery'.lvl)*10))*(100+stat('passive_summ_mastery'.accr))/100-100	damageresist	min(50,stat('passive_summ_phys_resist'.accr))	fireresist	min(80,lvl*2+stat('passive_summ_elemental_resist'.accr))	coldresist	min(80,lvl*2+stat('passive_summ_elemental_resist'.accr))	lightresist	min(80,lvl*2+stat('passive_summ_elemental_resist'.accr))	poisonresist	min(80,lvl*2+stat('passive_summ_elemental_resist'.accr))										item_armor_percent	par3*(lvl-1)	tohit	toht	curse_resistance	(skill('Summon Curse Immunity'.lvl)>0)*100	magicresist	min(50,stat('passive_summ_phys_resist'.accr))																					valkyrie	valkyrie	(stat('item_max_skeleton_king'.accr)>0)?0:(1+skill('Valkyrie Mastery'.lvl)/20+stat('passive_summ_limit'.accr))	NU	Dodge	lvl/5+skill('Valkyrie Mastery'.lvl)/5	Avoid	lvl/5+skill('Valkyrie Mastery'.lvl)/5	Critical Strike	lvl/5+skill('Valkyrie Mastery'.lvl)/5	Spearstorm	lvl/5+skill('Valkyrie Mastery'.lvl)/5+skill('Spearstorm'.blvl)/2	Penetrate	lvl/5+skill('Valkyrie Mastery'.lvl)/5				amazon_valkyrie_cast																																	1	6		none												SC	SC	xx					4												1			1										18	20								1						1	1					1	8	30	0	1	1										(100+(lvl+skill('Valkyrie Mastery'.lvl))*20)*(100+stat('passive_summ_life'.accr))/100-100	bonus hp%	"min(ln56+skill('Valkyrie Mastery'.lvl),99)"	itemlevel									20	% hitpoints more per level and Valkyrie Mastery bonus	25	str per level	10	% AC increase per level	12	dex per level	20	Magic Item level	1	Magic Item level per level	2	resistances	10	hp & ac synergy									1	10		10*lvl					8																																				512	4000	0
Pierce	33	ama	pierce																																											pierce			skill_pierce	ln12*(100+blvl*3)/100*(100+skill('Legendary Arrow'.blvl)*2)/100																																																																													1	0		rng		miss												xx																	1													30	20					Penetrate									0	0					0	8	0	0	1	1							1			(100+par1*(lvl-1)+skill('Valkyrie Mastery'.lvl)*20)*(100+stat('passive_summ_life'.accr))/100-100												20	min % chance pierce	2	% chance pierce per level	20		1										0	chance to not consume min	66	chance to not consume max					1								8																																				1023	8000	0
Maelstrom Cascade	34	ama	maelstrom cascade	26	48						clc1							maelstromcascade	maelstromcascade	maelstromcascade																																																																																								8	6						maelstromcascade	maelstromcascade	maelstromcascade										1	8		rng		jave										SQ	A1	SC	23	12															1													30	20					Hailstorm									1	1	1		1	6	0	6	8	1	1											max(2,15-clc2)		skill('Attack'.clc5)*lvl/300				clc6?1:4				(((skill('Maelstrom Cascade'.blvl)+skill('Sharpened Focus'.blvl))>39)*(stat('randomgenerator'.accr)>900))?2:1																15	damage and ar synergy									1	15		15*lvl+skill('Hailstorm'.blvl)*par8					8	32														ltng	1						2	2	3	4	4	4	skill('Inferno Fury'.blvl)*par8								512	4000	0
