name	version	compactsave	rarity	spawnable	minac	maxac	speed	reqstr	reqdex	block	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	normcode	ubercode	ultracode	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	stackable	minstack	maxstack	spawnstack	Transmogrify	TMogType	TMogMin	TMogMax	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Studded Leather	0	0	1	1	39	49	0	27	0	0	32	0	8	2	0	596	2658	stu	stu		320	stu	stu	xtu	ytu	1	2	3	1	4	2	flpstu	invstu			1	0	0	1	1	1	0	0	0	0	0	0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255	5	8	0	xtu	ytu	1		
Ring Mail	0	0	1	1	50	62	2	36	0	0	26	0	11	2	0	1107	3772	rng	rng		320	rng	rng	xng	yng	1	2	3	1	5	2	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255	1	8	0	xng	yng	1		
Scale Mail	0	0	1	1	63	77	3	44	0	0	36	0	13	2	0	1627	5019	scl	scl		320	scl	scl	xcl	ycl	1	2	3	1	6	2	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255	1	3	1	3	20					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xcl	ycl	1		
Chain Mail	0	0	1	1	78	94	2	48	0	0	45	0	15	2	0	2340	6887	chn	chn		320	chn	chn	xhn	yhn	1	2	3	1	5	2	flpchn	invchn		invrob	1	1	1	1	2	2	0	0	0	0	0	0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255	1	3	1	3	20					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xhn	yhn	1		
Breast Plate	0	0	1	1	95	113	1	30	0	0	50	0	18	2	0	2509	8356	brs	brs		320	brs	brs	xrs	yrs	1	2	3	1	4	2	flpbrs	invbrs			0	0	2	0	2	2	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xrs	yrs	1		
Splint Mail	0	0	1	1	114	136	2	51	0	0	30	0	20	2	0	3186	12493	spl	spl		320	spl	spl	xpl	ypl	1	2	3	1	5	2	flpspl	invspl		invgth	1	1	2	1	1	1	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255			2	3	20					255					255					255			2	3	20					255					255					255					255					255					255	5	8	0	xpl	ypl	1		
Plate Mail	0	0	1	1	152	178	3	65	0	0	60	0	24	2	0	4042	19813	plt	plt		320	plt	plt	xlt	ylt	1	2	3	1	6	2	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255	5	8	0	xlt	ylt	1		
Field Plate	0	0	1	1	179	207	2	55	0	0	48	0	27	2	0	4230	24173	fld	fld		320	fld	fld	xld	yld	1	2	3	1	5	2	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255	1	3	1	3	20					255					255					255					255					255					255					255					255					255					255	5	8	0	xld	yld	1		
Gothic Plate	0	0	1	1	208	238	2	70	0	0	55	0	29	2	0	5580	38208	gth	gth		320	gth	gth	xth	yth	1	2	3	1	5	2	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255					255					255					255	1	8	0	xth	yth	1		
Full Plate Mail	0	0	1	1	272	306	3	80	0	0	70	0	31	2	0	7149	58440	ful	ful		320	ful	ful	xul	yul	1	2	3	1	6	2	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255			1	3	20					255					255	5	8	0	xul	yul	1		
Ancient Armor	0	0	1	1	344	382	2	100	0	0	60	0	33	2	0	10483	96392	aar	aar		320	aar	aar	xar	yar	1	2	3	1	5	2	flpaar	invaar	invaaru	invaaru	1	2	2	2	2	0	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255					255	5	8	0	xar	yar	1		
Light Plate	0	0	1	1	127	151	5	41	0	0	60	0	30	2	0	4791	34732	ltp	ltp		320	ltp	ltp	xtp	ytp	1	2	3	1	4	2	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255					255					255	1	8	0	xtp	ytp	1		
Buckler	0	0	1	1	6	9	0	15	0	0	12	0	1	2	0	17	754	buc	buc		320	buc	buc	xuc	yuc	7	2	2	1	2	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0		0	1	0	4	8	100		0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xuc	yuc	1		
Small Shield	0	0	1	1	12	18	0	22	0	2	16	0	5	2	0	102	1378	sml	sml		320	buc	sml	xml	yml	7	2	2	1	2	2	flpsml	invsml	invsmlu	invsmlu							0	0	0	0	0	0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0		0	1	0	6	10	100		0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xml	yml	1		
Large Shield	0	0	1	1	18	27	5	25	0	4	24	0	11	2	0	303	2667	lrg	lrg		320	lrg	lrg	xrg	yrg	7	2	3	1	3	2	flplrg	invlrg	invlrgu	invlrgu							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	8	12	100		0	3					255	1	2	1	2	1					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xrg	yrg	1		
Kite Shield	0	0	1	1	30	45	5	47	0	3	30	0	15	2	0	532	3498	kit	kit		320	kit	kit	xit	yit	7	2	3	1	4	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	8	16	100		0	3					255					255					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255	5	8	0	xit	yit	1		
Tower Shield	0	0	1	1	42	63	2	75	0	4	60	0	22	2	0	1062	5858	tow	tow		320	tow	tow	xow	yow	7	2	3	1	4	2	flptow	invtow	invtowu	invtows							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	6	16	100		0	3					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255					255					255	5	8	0	xow	yow	1		
Gothic Shield	0	0	1	1	54	81	1	60	0	3	40	0	28	2	0	2000	10937	gts	gts		320	kit	gts	xts	yts	7	2	4	1	4	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	8	16	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	2	20					255			1	2	20					255					255	5	8	0	xts	yts	1		
Gloves(L)	0	0	1	1	6	10	0	15	0	0	12	0	3	2	0	20	1015	lgl	lgl		320	lgl	lgl	xlg	ylg	16	2	2	1	2	0	flplgl	invlgl									0	0	0	0	0	0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0		0	5	0	0	0			0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xlg	ylg	1		
Heavy Gloves	0	0	1	1	12	20	0	15	0	0	14	0	7	2	0	88	1654	vgl	vgl		320	vgl	vgl	xvg	yvg	16	2	2	1	2	0	flpvgl	invvgl									0	0	0	0	0	0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0		0	5	0	0	0			0	3					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xvg	yvg	1		
Bracers(M)	0	0	1	1	18	30	0	25	0	0	16	0	12	2	0	214	2634	mgl	mgl		320	mgl	mgl	xmg	ymg	16	2	2	1	2	0	flpmgl	invmgl			1	1					0	0	0	0	0	0	xxx			glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0		0	5	0	0	0			0	3					255					255					255	1	3	1	3	20					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255	1	8	0	xmg	ymg	1		
Light Gauntlets	0	0	1	1	24	40	0	45	0	0	18	0	20	2	0	408	3834	tgl	tgl		320	mgl	tgl	xtg	ytg	16	2	2	1	2	0	flptgl	invtgl			1	1					0	0	0	0	0	0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0		0	5	0	0	0			0	3					255					255					255					255					255					255	1	3	1	3	20					255					255					255					255					255					255					255					255					255					255	1	8	0	xtg	ytg	1		
Gaunlets(H)	0	0	1	1	30	50	0	60	0	0	24	0	26	2	0	741	5751	hgl	hgl		320	hgl	hgl	xhg	yhg	16	2	2	1	2	0	flphgl	invhgl			2	2					0	0	0	0	0	0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0		0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255			1	3	20					255					255	1	8	0	xhg	yhg	1		
Leather Boots	0	0	1	1	4	8	0	15	0	0	12	0	3	2	0	20	1015	lbt	lbt		320	lbt	lbt	xlb	ylb	16	2	2	1	2	1	flplbt	invlbt									0	0	0	0	0	0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0	0		0	6	0	5	12	100	100	0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xlb	ylb	1		
Heavy Boots	0	0	1	1	8	16	0	18	0	0	14	0	7	2	0	83	1646	vbt	vbt		320	vbt	vbt	xvb	yvb	16	2	2	1	2	1	flpvbt	invvbt									0	0	0	0	0	0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0	0		0	6	0	6	15	100	100	0	3					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xvb	yvb	1		
Chain Boots	0	0	1	1	12	24	0	30	0	0	16	0	12	2	0	213	2632	mbt	mbt		320	mbt	mbt	xmb	ymb	16	2	2	1	2	1	flpmbt	invmbt						1			0	0	0	0	0	0	xxx			boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0		0	6	0	9	18	100	100	0	3					255					255					255	1	3	1	3	20					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255	1	8	0	xmb	ymb	1		
Light Plate Boots	0	0	1	1	16	32	0	50	0	0	18	0	20	2	0	407	3831	tbt	tbt		320	mbt	tbt	xtb	ytb	16	2	2	1	2	1	flptbt	invtbt						1			0	0	0	0	0	0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0		0	6	0	12	24	100	100	0	3					255					255					255					255					255					255	1	3	1	3	20					255					255					255					255					255					255					255					255					255					255	1	8	0	xtb	ytb	1		
Plate Boots	0	0	1	1	20	40	0	70	0	0	24	0	26	2	0	738	5742	hbt	hbt		320	hbt	hbt	xhb	yhb	16	2	2	1	2	1	flphbt	invhbt						2			0	0	0	0	0	0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0		0	6	0	15	30	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255			1	3	20					255					255	1	8	0	xhb	yhb	1		
Sash(L)	0	0	1	1	6	10	0	15	0	0	12	0	3	2	0	16	1012	lbl	lbl		320	lbl	lbl	zlb	alb	16	2	1	1	2	2	flplbl	invlbl									0	0	0	0	0	0	xxx			belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	1	0		0	4	0	0	0			0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	zlb	alb	1		
Light Belt	0	0	1	1	12	20	0	15	0	0	14	0	7	2	0	48	1584	vbl	vbl		320	vbl	vbl	zvb	avb	16	2	1	1	2	2	flpvbl	invvbl									0	0	0	0	0	0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	4	0		0	4	0	0	0			0	3					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	zvb	avb	1		
Belt(M)	0	0	1	1	18	30	0	25	0	0	16	0	12	2	0	123	2496	mbl	mbl		320	mbl	mbl	zmb	bmb	16	2	1	1	2	2	flpmbl	invmbl									0	0	0	0	0	0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	0	0		0	4	0	0	0			0	3					255					255					255	1	3	1	3	20					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255	5	8	0	zmb	bmb	1		
Heavy Belt	0	0	1	1	24	40	0	45	0	0	18	0	20	2	0	240	3414	tbl	tbl		320	mbl	tbl	ztb	atb	16	2	1	1	2	2	flptbl	invtbl									0	0	0	0	0	0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	5	0		0	4	0	0	0			0	3					255					255					255					255					255					255	1	3	1	3	20					255					255					255					255					255					255					255					255					255					255	5	8	0	ztb	atb	1		
Girdle(H)	0	0	1	1	30	50	0	60	0	0	24	0	26	2	0	517	4995	hbl	hbl		320	hbl	hbl	zhb	ahb	16	2	1	1	2	2	flphbl	invhbl									0	0	0	0	0	0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	3	0		0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255			1	3	20					255					255	5	8	0	zhb	ahb	1		
Bone Helm	0	0	1	1	42	60	0	25	0	0	40	0	22	2	0	1580	7284	bhm	bhm		320	bhm	bhm	xh9	yh9	0	2	2	1	2	1	flpbhm	invbhm	invbhmu	invxh9							0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	2	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255			2	4	20					255					255					255					255					255					255					255					255	1	8	0	xh9	yh9	1		
Bone Shield	0	0	1	1	36	54	0	25	0	4	40	0	19	2	0	793	4635	bsh	bsh		320	bsh	bsh	xsh	ysh	7	2	3	1	2	2	flpbsh	invbsh	invbshu	invbshu							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	10	16	100		0	3					255					255					255					255					255					255					255					255			2	4	20					255					255					255					255					255					255					255					255	5	8	0	xsh	ysh	1		
Spiked Shield	0	0	1	1	22	37	0	30	0	2	40	0	11	2	0	472	2899	spk	spk		306	spk	spk	xpk	ypk	7	2	3	1	2	2	flpspk	invspk	invspku	invkitu							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	12	20	100		0	3					255					255					255					255					255					255					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255	5	8	0	xpk	ypk	1		
War Hat	0	0	1	1	52	67	0	20	0	0	12	0	29	2	22	2945	11507	xap	xap		320	cap	cap	xap	yap	0	2	2	1	3	1	flpcap	invcap									0	0	0	0	0	0	xxx			helm		item_cap	12	item_cap	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Sallet	0	0	1	1	60	78	0	43	0	0	18	0	32	2	25	3401	15456	xkp	xkp		320	skp	skp	xkp	ykp	0	2	2	1	3	1	flpskp	invskp	invxkpu	invxkpu							0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Casque	0	0	1	1	67	88	0	59	0	0	24	0	37	2	25	4134	22725	xlm	xlm		320	hlm	hlm	xlm	ylm	0	2	2	1	3	1	flphlm	invhlm	invhlmu	invcap							0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Basinet	0	0	1	1	82	106	0	82	0	0	30	0	40	2	25	4885	30488	xhl	xhl		320	fhl	fhl	xhl	yhl	0	2	2	1	3	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1		
Winged Helm	0	0	1	1	105	138	5	92	0	0	40	0	48	2	25	5487	35491	xhm	xhm		320	ghm	ghm	xhm	yhm	0	2	2	1	4	1	flpghm	invghm		invhlmu							0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1		
Grand Crown	0	0	1	1	112	148	5	103	0	0	50	0	52	2	25	6557	57352	xrn	xrn		320	crn	crn	xrn	yrn	0	2	2	1	4	1	flpcrn	invcrn		invxrnu							0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Death Mask	0	0	1	1	90	117	0	55	0	0	20	0	44	2	25	4648	31398	xsk	xsk		320	msk	msk	xsk	ysk	0	2	2	1	4	1	flpmsk	invmsk									0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Ghost Armor	0	0	1	1	155	171	0	38	0	0	20	0	29	2	22	5069	21954	xui	xui		320	qlt	qui	xui	yui	1	2	3	1	4	2	flpqlt	invqlt		invclk					1	1	0	0	0	0	0	0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
